ACCNR,YEAR,SPECIES,LOC,LAT,LONG,NHOM,ALDR,TOTL,TOTV,FPRC,CB28,CB52,CB101,CB118,CB153,CB138,CB180
P92/02603,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.2,70.3,3.87,0.009,0.0145,NA,0.0426,0.0744,0.0695,0.0189
P92/02604,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,20.7,59.8,1.54,0.0214,0.0604,NA,0.1597,0.3597,0.3351,0.0799
P92/01079,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.3,45,1.08,0.0339,0.1074,0.361,0.2929,0.598,0.5003,0.1079
P92/01080,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.7,47,0.76,0.0104,0.0675,0.5487,0.5654,1.2826,1.1427,0.3135
P92/01081,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.2,47,0.94,0.0229,0.0893,0.4134,0.3799,0.7153,0.6333,0.1702
P92/01082,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20,56,1.74,0.0193,0.0477,0.1454,0.1497,0.2323,0.2064,0.0558
P92/01083,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.4,57,2.73,0.0217,0.0685,0.2303,0.2476,0.3531,0.3413,0.0927
P92/01084,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.7,52,1.25,0.0222,0.0782,0.2739,0.2699,0.4249,0.3835,0.109
P92/01085,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,18.4,44,2.89,0.0155,0.0355,0.1023,0.1062,0.145,0.13,0.0354
P92/01086,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.4,45,2.36,0.0175,0.0438,0.1297,0.1274,0.2029,0.1842,0.0524
P92/01087,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.6,51,1.78,0.0225,0.0526,0.1577,0.1684,0.2228,0.2106,0.0561
P92/01088,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.7,47,1.81,0.0306,0.0543,0.1816,0.1889,0.3084,0.281,0.0756
P92/01089,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.2,57,2.51,0.0187,0.0553,0.167,0.1638,0.2246,0.2088,0.0558
P92/01090,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.4,56,3.04,0.0137,0.0401,0.1465,0.1353,0.2233,0.2014,0.0541
P92/01091,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,22.4,65,1.9,0.0212,0.0584,0.2076,0.2351,0.3355,0.33,0.0839
P92/01092,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,23.2,67,3.27,0.0197,0.0601,0.1656,0.1573,0.2419,0.2201,0.0634
P92/01093,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.1,53,1.92,0.0186,0.0608,0.2147,0.2219,0.3739,0.3438,0.0964
P92/01094,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.1,44,1.85,0.0167,0.0523,0.1595,0.1503,0.199,0.1904,0.0519
P92/01095,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,22.9,62,2.74,0.0155,0.0483,0.1663,0.1619,0.2672,0.2365,0.0683
P92/01096,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21.1,63,3.95,0.0156,0.0382,0.1174,0.1333,0.1736,0.1675,0.0466
P92/01097,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.4,48,1.59,0.0194,0.0618,0.1919,0.1778,0.2893,0.2545,0.07
P92/01098,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,22.6,65,3.03,0.0214,0.0579,0.1724,0.1592,0.2509,0.2264,0.0632
P92/01099,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,22.6,59,1.61,0.0228,0.0652,0.3085,0.2974,0.6517,0.5915,0.1483
P92/01100,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,23.8,70,3.76,0.0175,0.0457,0.1561,0.1647,0.2314,0.2192,0.0542
P92/01101,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,21,51,2.36,0.0271,0.0731,0.2084,0.2072,0.3377,0.2982,0.0817
P92/01102,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,19.4,54,4.33,0.0158,0.0344,0.1018,0.1086,0.1482,0.1323,0.0376
P92/01103,1992,Herring,Utlängan (spring),56.00807951472777,15.830903370721249,NA,3,20.4,49,3.97,0.0151,0.0348,0.1144,0.1199,0.1707,0.1562,0.0391
P92/02605,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,22,76.3,4.18,0.005,0.0024,NA,0.0292,0.0562,0.055,0.0124
P92/02606,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.7,63.6,2.16,0,0.0292,NA,0.0898,0.2037,0.1912,0.0481
P92/02607,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,22,81.1,1.44,0.0222,0.0938,NA,0.4,0.6243,0.6875,0.1535
P92/02608,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.1,63.9,3.43,0.0087,0.0251,NA,0.0673,0.1216,0.1163,0.0332
P92/02609,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,22.2,64.4,3.7,0.0062,0.0189,NA,0.0751,0.1716,0.1649,0.043
P92/02610,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.5,68.1,3.9,0.0072,0.0164,NA,0.0451,0.0833,0.0744,0.0205
P92/02611,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.3,62.7,4.86,0.0066,0.0212,NA,0.0568,0.0988,0.094,0.0257
P92/02612,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.8,65,2.88,0.008,0.0233,NA,0.0552,0.126,0.1128,0.0306
P92/02613,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,22.1,55.3,1.49,0.0081,0.0255,NA,0.1362,0.2732,0.2658,0.0685
P92/02614,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,22.2,79.8,4.93,0.0063,0.0219,NA,0.0462,0.0787,0.0809,0.0209
P92/02615,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.3,70.4,2.82,0.0071,0.0223,NA,0.0879,0.1872,0.1844,0.0486
P92/02616,1992,Herring,Utlängan,56.00807951472777,15.830903370721249,NA,4,21.9,78.2,5.95,0.0062,0.019,NA,0.0429,0.08,0.0746,0.019
P92/02983,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,5,17.5,33.2,2.84,0.0158,0.0514,0.1803,0.1504,0.3116,0.2951,0.0887
P92/02984,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18.2,37.5,3.51,0.0077,0.0191,0.0553,0.0598,0.0855,0.0855,0.0217
P92/02985,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.2,36.8,5.96,0.0064,0.0141,0.0349,0.0396,0.0475,0.0482,0.0117
P92/02986,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19,39.4,1.18,0.0102,0.0297,0.1449,0.1788,0.4458,0.4059,0.1695
P92/02987,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.6,36.2,3.77,0.0082,0.0212,0.0523,0.0557,0.0732,0.069,0.0191
P92/02988,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,17.9,36.2,3.75,0.0064,0.0139,0.0331,0.0427,0.0589,0.0589,0.0219
P92/02989,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18.5,39.5,4.02,0.0067,0.0157,0.0398,0.0455,0.056,0.0542,0.0154
P92/02990,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,19.2,42.4,2.52,0.0143,0.0389,0.1024,0.1131,0.1821,0.1798,0.0532
P92/02991,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18.3,41,4.76,0.0074,0.0158,0.0403,0.0454,0.0519,0.0508,0.0141
P92/02992,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18.3,36.6,3.51,0.0097,0.0282,0.0823,0.0903,0.1652,0.1578,0.049
P92/02993,1992,Herring,Landsort,58.693635257492296,18.00425495822601,NA,4,18,36.4,3.48,0.0066,0.0167,0.0466,0.0506,0.0721,0.0704,0.0195
P92/03248-03267,1992,Cod,SE Gotland,56.75024348456655,18.49609066850709,20,3,NA,NA,59.74,0.0084,0.0284,0.1189,0.1307,0.2577,0.2252,0.0685
P92/02894-02918,1992,Cod,Fladen,57.19977802985599,11.813581143243677,25,4,NA,NA,28.54,0.0134,0.0305,0.0599,0.1669,0.55,0.3781,0.1107
P92/01760,1992,Herring,Harufjärden,65.58247415499247,22.879089905589215,NA,3,15.8,25.3,2.87,NA,0.0073,0.0213,0.023,0.0477,0.0453,0.0199
P92/03302,1992,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,17.4,30.2,1.68,NA,NA,0.0714,0.0708,0.2423,0.2048,0.1113
P92/03303,1992,Herring,Ängskärsklubb,60.53260784362712,18.162427330927617,NA,4,19.3,39.7,0.51,NA,NA,0.1961,0.1902,2.3157,1.6706,1.5725
